"Animal.ID","Animal.Name","Species","Gender","Date.Of.Birth","Primary.Breed","Secondary.Breed","Declawed","Distinguishing.Markings","Purebred","BodyWeight","BodyWeightUnit","PrimaryColor","SecondaryColor","ColorPattern","Intake.Date","Intake.Type","Intake.Subtype","Reason","Reason.Category"
1107338,"RILEY","Cat","M","5/11/2005","Domestic Shorthair","Mix","None","",0,0,NA,"Orange","White","Tabby","07/11/2005 00:32:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
1108159,"","Cat","M","6/3/2005","Domestic Shorthair","Mix","None","",0,2,"pound","Brown",NA,"Tiger","07/27/2005 00:26:00","Stray","Walk In","",NA
1108537,"","Cat","F","7/2/2005","Domestic Longhair","Mix","None","",0,2,"pound","Grey","White",NA,"08/02/2005 00:59:00","Stray","Walk In","",NA
1109986,"JEWEL","Cat","F","6/30/2005","Domestic Shorthair","Mix","None","",0,2.3,"pound","Black","Brown",NA,"08/30/2005 00:04:00","Owner/Guardian Surrender","Walk In","Cost","Owner problem"
1110505,"LEMONA","Cat","F","5/10/2005","Domestic Longhair","Mix","None","",0,3.8,"pound","Brown",NA,"Tabby","09/09/2005 00:32:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
1113154,"Paco","Cat","M","4/2/2005","Domestic Shorthair","Mix","Front","front declawed",0,12.25,"pound","Orange","White","Tiger","11/02/2005 00:56:00","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
1115417,"LEO","Cat","M","1/6/2002","Domestic Longhair","Mix","None","",0,15,"pound","Orange",NA,"Tiger","01/06/2006 00:57:00","Stray","Walk In","",NA
1115568,"MAYA","Cat","F","9/10/2005","Domestic Shorthair","Mix","None","",0,4,"pound","White","Grey",NA,"01/10/2006 00:10:00","Owner/Guardian Surrender","Walk In","Landlord Does Not Allow","Owner problem"
1116941,"LIZA","Cat","F","2/15/2003","Domestic Shorthair","Mix","Front","",0,7.8,"pound","Brown","Orange","Tiger","02/15/2006 00:14:00","Stray","Walk In","",NA
1117964,"IVAN","Cat","M","9/17/2004","Domestic Shorthair","Mix","None","",0,16,"pound","Black",NA,NA,"03/17/2006 00:08:00","Owner/Guardian Surrender","Walk In","Problem With Children","Owner problem"
1118436,"SAMANTHA","Cat","F","3/29/2004","Domestic Shorthair","Mix","None","",0,8,"pound","Black","White",NA,"03/29/2006 00:40:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
1118900,"CRUISE","Cat","M","4/8/2001","Domestic Shorthair","Mix","Front","",0,8.5,"pound","Black","White",NA,"04/08/2006 00:23:00","Stray","Walk In","",NA
1118945,"MAMA","Cat","F","4/9/2004","Domestic Longhair","Mix","Front","Declawed front",0,9,"pound","Brown",NA,"Tiger","04/09/2006 00:58:00","Owner/Guardian Surrender","Walk In","Too Many Pets","Owner problem"
1119771,"KIT KAT","Cat","M","4/30/2003","Domestic Longhair","Mix","None","",0,10.5,"pound","Grey",NA,NA,"04/30/2006 00:47:00","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
1125702,"Darby","Cat","F","7/28/2006","Domestic Shorthair","Mix","None","",0,1.5,"pound","Orange",NA,"Calico","08/28/2006 00:13:00","Stray","Walk In","",NA
1125966,"kitten","Cat","M","7/1/2006","Domestic Shorthair","Mix","None","",0,2.3,"pound","Brown",NA,"Tiger","09/01/2006 00:13:00","Owner/Guardian Surrender","Abandoned","Abandoned","Misc other"
1141677,"Clyde","Cat","M","3/23/2006","Domestic Shorthair","Egyptian Mau","None","",0,8,"pound","Brown","White","Tiger","09/19/2006 12:12:18","Owner/Guardian Surrender","Walk In","Problem With Children","Owner problem"
1147285,"Smokey","Cat","M","9/23/2002","Maine Coon","Maine Coon","Front","",0,13.2,"pound","Grey",NA,"Tiger","09/21/2006 18:13:27","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
1150718,"Boots","Cat","M","9/24/2002","Domestic Shorthair","Mix","Front","",0,12,"pound","Black","White","Tuxedo","09/23/2006 14:19:51","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
1150908,"Derby","Cat","M","9/24/2001","Siamese","Mix","Front","Flame Point",0,11.75,"pound","Cream","Orange","Point","09/23/2006 15:28:11","Owner/Guardian Surrender","Walk In","Moving","Owner problem"
1620883,"","Cat","M","11/28/2002","Domestic Shorthair","Mix","Front","",0,11,"pound","Grey","Lynx","Tiger","11/26/2006 16:38:33","Stray","Walk In","",NA
1840916,"Spook","Cat","M","1/19/2005","Domestic Medium Hair","Mix","Front","",0,10.25,"pound","Black","White",NA,"01/19/2007 13:35:31","Owner/Guardian Surrender","Walk In","Allergic to Pet","Owner problem"
1941277,"Phillip","Cat","M","6/6/2006","Domestic Shorthair","Mix","None","",0,9,"pound","Grey","Grey","Tiger","02/01/2007 13:25:22","Stray","Walk In","",NA
1053299,"BUSTER","Cat","M","9/19/1999","Domestic Shorthair","Mix","Front","",0,12,"pound","White","Black",NA,"02/10/2007 14:07:02","Owner/Guardian Surrender","Walk In","Owner Problems","Owner problem"
1967432,"Daisy","Cat","F","2/16/2002","Domestic Shorthair","Mix","None","",0,14,"pound","Orange",NA,"Tiger","02/11/2007 16:25:55","Stray","Walk In","",NA
